episode,score,score_avg100,time_steps,time_ep,time_total
0,0.0,0.0,13,0.04587912559509277,0.04588031768798828
1,0.0,0.0,14,0.04145693778991699,0.08785557746887207
2,0.0,0.0,15,0.04889488220214844,0.13727140426635742
3,0.0,0.0,14,0.04436826705932617,0.18224191665649414
4,0.0,0.0,15,0.044042110443115234,0.22684311866760254
5,0.0,0.0,32,0.09363865852355957,0.3210327625274658
6,0.0,0.0,15,0.04774165153503418,0.36937689781188965
7,0.10000000149011612,0.012500000186264515,57,0.18356728553771973,0.5536549091339111
8,0.10000000149011612,0.022222222553359136,30,0.10286712646484375,0.6573596000671387
9,0.0,0.020000000298023225,14,0.051813364028930664,0.709998369216919
10,0.0,0.018181818452748386,14,0.04468393325805664,0.7555637359619141
11,0.10000000149011612,0.02500000037252903,30,0.08146405220031738,0.837559700012207
12,0.0,0.02307692342079603,14,0.041599273681640625,0.8797292709350586
13,0.0,0.021428571747882024,15,0.041319847106933594,0.9216020107269287
14,0.0,0.020000000298023225,14,0.040103912353515625,0.9622447490692139
15,0.0,0.018750000279396772,14,0.04155540466308594,1.0043323040008545
16,0.09000000171363354,0.022941176834351876,31,0.08130717277526855,1.0862796306610107
17,0.10000000149011612,0.027222222648561,31,0.08526778221130371,1.172088384628296
18,0.10000000149011612,0.031052632061274427,45,0.14262080192565918,1.315406084060669
19,0.0,0.029500000458210707,14,0.04433417320251465,1.3602752685546875
20,0.0,0.028095238531629246,14,0.03725719451904297,1.3980982303619385
21,0.0,0.026818182234737007,14,0.04560542106628418,1.4442288875579834
22,0.0,0.02565217431148757,13,0.03956961631774902,1.4844493865966797
23,0.0,0.024583333715175588,15,0.04604387283325195,1.5311834812164307
24,0.10000000149011612,0.02760000042617321,42,0.12176632881164551,1.6535313129425049
25,0.09000000171363354,0.030000000475690916,31,0.10147356986999512,1.7556078433990479
26,0.0,0.028888889346961624,14,0.04813957214355469,1.804478406906128
27,0.0,0.02785714329885585,14,0.04348945617675781,1.8485932350158691
28,0.0,0.02689655215061944,14,0.03937029838562012,1.8885219097137451
29,0.0,0.02600000041226546,26,0.08043265342712402,1.9695684909820557
30,0.0,0.02516129072154722,15,0.046465396881103516,2.016582489013672
31,0.0,0.02437500038649887,14,0.04135847091674805,2.0586190223693848
32,0.0,0.023636364011150417,15,0.042428016662597656,2.1016905307769775
33,0.0,0.022941176834351876,14,0.043921470642089844,2.146185874938965
34,0.0,0.02228571463908468,14,0.04302668571472168,2.1897473335266113
35,0.10000000149011612,0.024444444829391107,30,0.08777880668640137,2.278085231781006
36,0.10000000149011612,0.026486486901302595,30,0.09821271896362305,2.3768351078033447
37,0.0,0.02578947408811042,14,0.0484318733215332,2.425832509994507
38,0.0,0.025128205521748617,14,0.04364633560180664,2.470219612121582
39,0.0,0.024500000383704902,14,0.04698801040649414,2.517986297607422
40,0.0,0.02390243939873649,15,0.04570341110229492,2.5644712448120117
41,0.0,0.023333333698766574,14,0.04377317428588867,2.6087965965270996
42,0.0,0.022790698031353397,14,0.04125237464904785,2.650658130645752
43,0.0,0.02227272762154991,15,0.04767966270446777,2.698904275894165
44,0.0,0.0217777781188488,15,0.04553651809692383,2.744995355606079
45,0.0,0.021304348159743393,14,0.0467677116394043,2.7923598289489746
46,0.10000000149011612,0.02297872376251728,40,0.1251208782196045,2.9180452823638916
47,0.0,0.02250000035079817,14,0.04737567901611328,2.966094970703125
48,0.0,0.022040816670169636,14,0.04954075813293457,3.0162599086761475
49,0.0,0.021600000336766245,14,0.05154275894165039,3.068453550338745
50,0.0,0.021176470918398277,14,0.04723310470581055,3.117931604385376
51,0.0,0.020769231093044464,14,0.05049276351928711,3.1691200733184814
52,0.0,0.02037735880827004,14,0.05072307586669922,3.2205209732055664
53,0.0,0.020000000311820594,15,0.05101418495178223,3.2722091674804688
54,0.0,0.019636363942514768,13,0.04347825050354004,3.316312074661255
55,0.0,0.019285714586398432,15,0.04847002029418945,3.3653416633605957
56,0.0,0.01894736871646162,14,0.04800248146057129,3.4139022827148438
57,0.09000000171363354,0.020172414112964582,31,0.10392618179321289,3.5184123516082764
58,0.0,0.01983050878901603,13,0.04593944549560547,3.565014600753784
59,0.0,0.019500000309199093,15,0.04889845848083496,3.614481210708618
60,0.10000000149011612,0.02081967245970593,32,0.10959577560424805,3.724647045135498
61,0.0,0.020483871291001,14,0.04522991180419922,3.770540237426758
62,0.0,0.020158730476858126,14,0.053195953369140625,3.8242664337158203
63,0.0,0.019843750313157216,14,0.04905414581298828,3.873961925506592
64,0.0,0.019538461846800952,15,0.05217885971069336,3.9268875122070312
65,0.0,0.019242424546091846,14,0.04762554168701172,3.975048303604126
66,0.10000000149011612,0.02044776151540564,36,0.1145021915435791,4.090099811553955
67,0.0,0.020147059140179086,14,0.05062079429626465,4.141371965408325
68,0.0,0.019855072775828667,15,0.05262899398803711,4.194788217544556
