episode,score,score_avg100,time_steps,time_ep,time_total
92,0.0,0.02107526914727303,14,0.03868746757507324,5.844893455505371
93,0.0,0.020851064156344596,14,0.04085803031921387,5.886297941207886
94,0.10000000149011612,0.02168421086512114,42,0.12458276748657227,6.0114054679870605
95,0.0,0.02145833366860946,14,0.04199528694152832,6.053926706314087
96,0.0,0.021237113733881527,14,0.04674220085144043,6.1016457080841064
97,0.09000000171363354,0.021938775856123895,31,0.08637881278991699,6.18859338760376
98,0.0,0.02171717205959739,14,0.04651188850402832,6.235683441162109
99,0.10000000149011612,0.02250000035390258,42,0.1318666934967041,6.368046283721924
100,0.0,0.02250000035390258,14,0.051610469818115234,6.420323848724365
101,0.0,0.02250000035390258,14,0.04981517791748047,6.471075773239136
102,0.10000000149011612,0.02350000036880374,46,0.15610551834106445,6.628114223480225
103,0.0,0.02350000036880374,14,0.04774832725524902,6.677117586135864
104,0.0,0.02350000036880374,14,0.05011439323425293,6.727970838546753
105,0.10000000149011612,0.024500000383704902,32,0.10745096206665039,6.836306810379028
106,0.10000000149011612,0.025500000398606063,47,0.14877533912658691,6.986016511917114
107,0.0,0.024600000381469728,14,0.0377497673034668,7.024490594863892
108,0.0,0.023700000364333392,16,0.04795026779174805,7.073186874389648
109,0.0,0.023700000364333392,14,0.04174637794494629,7.115493535995483
110,0.0,0.023700000364333392,14,0.043413400650024414,7.159471750259399
111,0.10000000149011612,0.024700000379234553,30,0.08916831016540527,7.249361991882324
112,0.0,0.024700000379234553,14,0.039873361587524414,7.289945602416992
113,0.0,0.024700000379234553,14,0.04346299171447754,7.333991050720215
114,0.0,0.024700000379234553,14,0.041654348373413086,7.376311540603638
115,0.10000000149011612,0.02480000037699938,31,0.1022956371307373,7.479334592819214
116,0.0,0.02480000037699938,14,0.045143842697143555,7.52522873878479
117,0.0,0.02480000037699938,14,0.04621124267578125,7.572203874588013
118,0.0,0.02480000037699938,14,0.04835247993469238,7.621356964111328
119,0.09000000171363354,0.025700000394135714,31,0.09725046157836914,7.719382286071777
120,0.0,0.025700000394135714,14,0.03961586952209473,7.759591817855835
121,0.10000000149011612,0.026700000409036875,54,0.1685166358947754,7.928677797317505
122,0.10000000149011612,0.027700000423938036,30,0.10922002792358398,8.038809537887573
123,0.10000000149011612,0.027700000423938036,31,0.09918212890625,8.138904571533203
124,0.0,0.027700000423938036,14,0.04791617393493652,8.187439918518066
125,0.0,0.027700000423938036,16,0.05367326736450195,8.24208116531372
126,0.0,0.0268000004068017,14,0.04127788543701172,8.283989906311035
127,0.0,0.0268000004068017,14,0.0458986759185791,8.330569744110107
128,0.0,0.0268000004068017,14,0.04957103729248047,8.380943059921265
129,0.0,0.02580000039190054,14,0.04767012596130371,8.42940878868103
130,0.0,0.02580000039190054,14,0.04934406280517578,8.479396343231201
131,0.0,0.02580000039190054,14,0.04866528511047363,8.52884840965271
132,0.0,0.02580000039190054,26,0.0780031681060791,8.607434511184692
133,0.0,0.02580000039190054,17,0.0583953857421875,8.666536092758179
134,0.0,0.02480000037699938,14,0.049063682556152344,8.716162204742432
135,0.0,0.02480000037699938,14,0.049689292907714844,8.766523122787476
136,0.0,0.023800000362098218,14,0.04473447799682617,8.811845302581787
137,0.0,0.022800000347197057,14,0.04346966743469238,8.855880498886108
138,0.10000000149011612,0.023800000362098218,52,0.16629266738891602,9.022733688354492
139,0.0,0.023800000362098218,14,0.05074477195739746,9.074362516403198
140,0.09000000171363354,0.024700000379234553,31,0.10059428215026855,9.175842046737671
141,0.0,0.024700000379234553,14,0.045839786529541016,9.222345352172852
142,0.10000000149011612,0.024700000379234553,30,0.10372662544250488,9.326762199401855
143,0.0,0.024700000379234553,14,0.05154585838317871,9.379328489303589
144,0.0,0.024700000379234553,15,0.04759812355041504,9.427693128585815
145,0.10000000149011612,0.025700000394135714,54,0.17714190483093262,9.605549573898315
146,0.0,0.025700000394135714,14,0.04040670394897461,9.64654016494751
147,0.0,0.025700000394135714,17,0.05392909049987793,9.701040029525757
148,0.0,0.025700000394135714,14,0.04577946662902832,9.74756669998169
149,0.0,0.025700000394135714,14,0.041287899017333984,9.78951096534729
150,0.0,0.025700000394135714,14,0.04303574562072754,9.83317756652832
151,0.0,0.025700000394135714,14,0.04338240623474121,9.877135992050171
152,0.0,0.025700000394135714,14,0.03793978691101074,9.91565489768982
153,0.0,0.025700000394135714,14,0.042305707931518555,9.95853590965271
154,0.0,0.024700000379234553,15,0.04877209663391113,10.007880210876465
155,0.0,0.023700000364333392,15,0.04151177406311035,10.049960851669312
156,0.0,0.023700000364333392,15,0.044376373291015625,10.094905138015747
157,0.0,0.023700000364333392,14,0.04432415962219238,10.139979600906372
158,0.0,0.02270000034943223,14,0.04511547088623047,10.185960292816162
159,0.0,0.02270000034943223,14,0.04368138313293457,10.230331897735596
160,0.0,0.02170000033453107,14,0.04348897933959961,10.274614334106445
161,0.0,0.02070000031962991,21,0.06995725631713867,10.345364093780518
162,0.0,0.02070000031962991,14,0.0453648567199707,10.39145278930664
163,0.09000000171363354,0.021600000336766245,32,0.10219621658325195,10.494503259658813
164,0.0,0.021600000336766245,14,0.041017770767211914,10.536173820495605
